main_feature,feature
Payments,Cheques
Payments,Credit cards
Payments,Debit cards
Payments,Google Pay
Payments,Meal coupons
Payments,NFC mobile payments
Payments,Offers free of cost or low-cost care based on individual circumstances
Payments,Offers free or low-cost care based on individual circumstances
Payments,Pluxee
Payments,SNAP/EBT
Payments,Ticket Restaurant
Payments,VR
Pets,
Pets,Dog park
Pets,Dogs allowed
Pets,Dogs allowed inside
Pets,Dogs allowed outside
Planning,
Planning,Accepts new patients
Planning,Accepts reservations
Planning,Appointment required
Planning,Appointments recommended
Planning,Brunch reservations recommended
Planning,Dinner reservations recommended
Planning,Eligibility requirement
Planning,Getting tickets in advance recommended
Planning,Lunch reservations recommended
Planning,Membership required
Planning,Quick visit
Planning,Reservations required
Planning,Usually a wait
Popular for,
Popular for,Breakfast
Popular for,Dinner
Popular for,Good for working on laptop
Popular for,Lunch
Popular for,Solo dining
Recycling,
Recycling,Batteries
Recycling,Clothing
Recycling,Electronics
Recycling,Glass bottles
Recycling,Hazardous household materials
Recycling,Ink cartridges
Recycling,Light bulbs
Recycling,Metal cans
Recycling,Plastic bags
Recycling,Plastic bottles
Recycling,Plastic foam
Service options,
Service options,Curbside pickup
Service options,Delivery
Service options,Dine-in
Service options,Drive-through
Service options,Grocery pickup
Service options,Has online care
Service options,In-store pick-up
Service options,In-store pickup
Service options,In-store shopping
Service options,Kerbside pickup
Service options,Language assistance
Service options,Meal service
Service options,No-contact delivery
Service options,On-site services
Service options,Online appointments
Service options,Online classes
Service options,Online estimates
Service options,Onsite services
Service options,Outdoor seating
Service options,Outdoor services
Service options,Same-day delivery
Service options,Takeaway
Service options,Takeout
Suggests,
Suggests,Accepts reservations
Suggests,Accessible
Suggests,Airport shuttle
Suggests,Alcohol
Suggests,Breakfast
Suggests,Business center
Suggests,Cosy
Suggests,Credit cards
Suggests,Delivery
Suggests,Dogs Allowed
Suggests,Fast service
Suggests,Fitness center
Suggests,Free Wi-Fi
Suggests,Free parking
Suggests,Free parking lot
Suggests,Free water refills
Suggests,Good for kids
Suggests,Happy hour drinks
Suggests,Happy-hour food
Suggests,Healthy options
Suggests,In-store shopping
Suggests,Kid-friendly
Suggests,Kids' menu
Suggests,Laundry service
Suggests,Live music
Suggests,Live performances
Suggests,Offers Takeout
Suggests,Open Now
Suggests,Outdoor seating
Suggests,Outdoor space
Suggests,Parking
Suggests,Pet-friendly
Suggests,Seating
Suggests,Smoke-free
Suggests,Sports
Suggests,Takeaway
Suggests,Upmarket
Suggests,Wi-Fi
